  z    age log_L/Lo logTe     imf     stage
------ --- -------- ------ ---------- -----
0.0152 9.0  -2.9107 3.4983 1.57040203     0
0.0152 9.0  -2.6559 3.5259 1.74782515     0
0.0152 9.0  -2.4834 3.5413 1.89584959     0
0.0152 9.0  -2.3495 3.5518  2.0211525     0
0.0152 9.0  -2.1485 3.5654 2.22178221     0
0.0152 9.0   -1.962 3.5762 2.40809011     0
0.0152 9.0  -1.7294 3.5874 2.61602283     0
0.0152 9.0  -1.7407 3.5867 2.60410357     1
0.0152 9.0  -1.6931 3.5898  2.6555202     1
0.0152 9.0  -1.6367  3.592 2.69407988     1
0.0152 9.0  -1.5695 3.5941 2.73791862     1
0.0152 9.0  -1.5653 3.5943  2.7413373     1
0.0152 9.0  -1.4597 3.6007 2.81098008     1
0.0152 9.0  -1.3447 3.6081 2.86847806     1
0.0152 9.0   -1.296 3.6114   2.884583     1
0.0152 9.0   -1.222 3.6173 2.91663504     1
0.0152 9.0  -1.1692 3.6211 2.93236876     1
0.0152 9.0  -1.1532 3.6224 2.93691874     1
0.0152 9.0  -1.1426 3.6232 2.93985176     1
   ... ...      ...    ...        ...   ...
0.0152 9.0   2.1964 3.6646 3.28365111     7
0.0152 9.0   2.2574 3.6596 3.28371072     7
0.0152 9.0   2.3034 3.6559 3.28374076     7
0.0152 9.0   2.3498 3.6521  3.2837677     7
0.0152 9.0   2.3953 3.6483 3.28378987     7
0.0152 9.0   2.4363 3.6451 3.28380632     7
0.0152 9.0   2.4746  3.642 3.28381968     7
0.0152 9.0   2.5112 3.6389 3.28383017     7
0.0152 9.0   2.5429 3.6362 3.28383613     7
0.0152 9.0   2.5766 3.6335 3.28384304     7
0.0152 9.0   2.6072  3.631 3.28385043     7
0.0152 9.0   2.6386 3.6284 3.28385806     7
0.0152 9.0   2.6697 3.6258 3.28386521     7
0.0152 9.0   2.7007 3.6232 3.28387237     7
0.0152 9.0   2.7326 3.6205 3.28387952     7
0.0152 9.0   2.7643 3.6179 3.28388643     7
0.0152 9.0   2.7991 3.6149 3.28389311     7
0.0152 9.0   2.8374 3.6117 3.28390002     7
0.0152 9.0   2.8815 3.6079 3.28390598     7
0.0152 9.0   2.8926 3.6069 3.28390718     8
Length = 199 rows
